,title,desc
1_1,Feedback Prize - Evaluating Student Writing,Analyze argumentative writing elements from students grade 6-12  
1_2,Tabular Playground Series - Dec 2021,Practice your ML skills on this approachable dataset! 
1_3,TensorFlow - Help Protect the Great Barrier Reef ,Detect crown-of-thorns starfish in underwater image data 
1_4,Santa 2021 - The Merry Movie Montage,Optimize television programming for the winter season 
1_5,Jigsaw Rate Severity of Toxic Comments   ,Rank relative ratings of toxicity between comments 
1_6,G-Research Crypto Forecasting ,Use your ML expertise to predict real crypto market data 
1_7,Tabular Playground Series - Nov 2021,Practice your ML skills on this approachable dataset! 
1_8,Sartorius - Cell Instance Segmentation,Detect single neuronal cells in microscopy images 
1_9,2021 Kaggle Machine Learning & Data Science Survey,The most comprehensive dataset available on the state of ML and data science 
1_10,Store Sales - Time Series Forecasting,Use machine learning to predict grocery sales 
1_11,Tabular Playground Series - Oct 2021,Practice your ML skills on this approachable dataset! 
1_12,NFL Big Data Bowl 2022,Help evaluate special teams performance 
1_13,PetFinder.my - Pawpularity Contest,Predict the popularity of shelter pet photos 
1_14,Google Brain - Ventilator Pressure Prediction,"Simulate a ventilator connected to a sedated patient's lung
 "
1_15,Wikipedia - Image/Caption Matching,Retrieve captions based on images 
1_16,Tabular Playground Series - Sep 2021,Practice your ML skills on this approachable dataset! 
1_17,Lux AI,Gather the most resources and survive the night! 
1_18,chaii - Hindi and Tamil Question Answering,Identify the answer to questions found in Indian language passages 
1_19,Google Landmark Retrieval 2021,"Given an image, can you find all of the same landmarks in a dataset? "
1_20,Google Landmark Recognition 2021,"Label famous, and not-so-famous, landmarks in images "
2_1,NFL Health & Safety - Helmet Assignment,Segment and label helmets in video footage 
2_2,LearnPlatform COVID-19 Impact on Digital Learning,Use digital learning data to analyze the impact of COVID-19 on student learning 
2_3,Tabular Playground Series - Aug 2021,Practice your ML skills on this approachable dataset! 
2_4,RSNA-MICCAI Brain Tumor Radiogenomic Classification,Predict the status of a genetic biomarker important for brain cancer treatment 
2_5,Tabular Playground Series - Jul 2021,Practice your ML skills on this approachable dataset! 
2_6,G2Net Gravitational Wave Detection,Find gravitational wave signals from binary black hole collisions 
2_7,Optiver Realized Volatility Prediction,Apply your data science skills to make financial markets better 
2_8,MLB Player Digital Engagement Forecasting,Predict fan engagement with baseball player digital content 
2_9,Tabular Playground Series - Jun 2021,Practice your ML skills on this approachable dataset! 
2_10,SIIM-FISABIO-RSNA COVID-19 Detection,Identify and localize COVID-19 abnormalities on chest radiographs 
2_11,Google Smartphone Decimeter Challenge,Improve high precision GNSS positioning and navigation accuracy on smartphones 
2_12,SETI Breakthrough Listen - E.T. Signal Search,Find extraterrestrial signals in data from deep space   
2_13,CommonLit Readability Prize,Rate the complexity of literary passages for grades 3-12 classroom use 
2_14,Tabular Playground Series - May 2021,Practice your ML skills on this approachable dataset! 
2_15,BirdCLEF 2021 - Birdcall Identification,"Identify bird calls in soundscape recordings
 "
2_16,Tabular Playground Series - Apr 2021,Synthanic - You're going to need a bigger boat 
2_17,Coleridge Initiative - Show US the Data ,Discover how data is used for the public good 
2_18,Plant Pathology 2021 - FGVC8 ,Identify the category of foliar diseases in apple trees 
2_19,Hotel-ID to Combat Human Trafficking 2021 - FGVC8,Recognizing hotels to aid Human trafficking investigations 
2_20,iWildcam 2021 - FGVC8,Count the number of animals of each species present in a sequence of images 
3_1,Herbarium 2021 - Half-Earth Challenge - FGVC8,"Identify plant species of the Americas, Oceania and the Pacific from herbarium specimens "
3_2,Shopee - Price Match Guarantee,Determine if two products are the same by their images 
3_3,Bristol-Myers Squibb – Molecular Translation,Can you translate chemical images to text? 
3_4,Tabular Playground Series - Mar 2021,Practice your ML skills on this approachable dataset! 
3_5,March Machine Learning Mania 2021 - NCAAM - Spread,Predict the margin of victory in the 2021 men's tournament 
3_6,March Machine Learning Mania 2021 - NCAAW - Spread,Predict the margin of victory in the 2021 women's tournament 
3_7,March Machine Learning Mania 2021 - NCAAW,Predict the 2021 NCAAW Basketball Tournament 
3_8,March Machine Learning Mania 2021 - NCAAM,Predict the 2021 NCAAM Basketball Tournament 
3_9,Hash Code 2021 - Traffic Signaling,Optimize city traffic in this extension of the 2021 Hash Code qualifier 
3_10,Tabular Playground Series - Feb 2021,Practice your ML skills on this approachable dataset! 
3_11,Indoor Location & Navigation,Identify the position of a smartphone in a shopping mall 
3_12,Human Protein Atlas - Single Cell Classification,Find individual human cell differences in microscope images 
3_13,Hungry Geese,Don't. Stop. Eating. 
3_14,Tabular Playground Series - Jan 2021,Practice your ML regression skills on this approachable dataset! 
3_15,VinBigData Chest X-ray Abnormalities Detection,Automatically localize and classify thoracic abnormalities from chest radiographs 
3_16,RANZCR CLiP - Catheter and Line Position Challenge,Classify the presence and correct placement of tubes on chest x-rays to save lives 
3_17,Acea Smart Water Analytics ,"Can you help preserve ""blue gold"" using data to predict water availability? "
3_18,Santa 2020 - The Candy Cane Contest,May your workdays be merry and bright 
3_19,Jane Street Market Prediction,Test your model against future real market data 
3_20,Cassava Leaf Disease Classification,Identify the type of disease present on a Cassava Leaf image 
4_1,2020 Kaggle Machine Learning & Data Science Survey,The most comprehensive dataset available on the state of ML and data science  
4_2,Rainforest Connection Species Audio Detection,Automate the detection of bird and frog species in a tropical soundscape 
4_3,HuBMAP - Hacking the Kidney,Identify glomeruli in human kidney tissue images 
4_4,NFL 1st and Future - Impact Detection,Detect helmet impacts in videos of NFL plays 
4_5,"Rock, Paper, Scissors",Shoot! 
4_6,NFL Big Data Bowl 2021,Help evaluate defensive performance on passing plays 
4_7,CDP - Unlocking Climate Solutions,City-Business Collaboration for a Sustainable Future 
4_8,INGV - Volcanic Eruption Prediction,Discover hidden precursors in geophysical data to help emergency response 
4_9,Riiid Answer Correctness Prediction,Track knowledge states of 1M+ students in the wild 
4_10,Google Research Football with Manchester City F.C.,Train agents to master the world's most popular sport 
4_11,Halite by Two Sigma - Playground Edition,Collect the most halite during your match in space 
4_12,OpenVaccine: COVID-19 mRNA Vaccine Degradation Prediction,Urgent need to bring the COVID-19 vaccine to mass production 
4_13,RSNA STR Pulmonary Embolism Detection,Classify Pulmonary Embolism cases in chest CT scans 
4_14,Hash Code Archive - Drone Delivery,Can you help coordinate the drone delivery supply chain? 
4_15,Mechanisms of Action (MoA) Prediction,Can you improve the algorithm that classifies drugs based on their biological activity? 
4_16,Conway's Reverse Game of Life 2020,Reverse the arrow of time in the Game of Life 
4_17,I’m Something of a Painter Myself,Use GANs to create art - will you be the next Monet? 
4_18,Lyft Motion Prediction for Autonomous Vehicles,Build motion prediction models for self-driving vehicles  
4_19,"Contradictory, My Dear Watson",Detecting contradiction and entailment in multilingual text using TPUs 
4_20,Google Landmark Recognition 2020,Label famous (and not-so-famous) landmarks in images 
5_1,OSIC Pulmonary Fibrosis Progression,Predict lung function decline 
5_2,Google Landmark Retrieval 2020,"Given an image, can you find all of the same landmarks in a dataset? "
5_3,Petals to the Metal - Flower Classification on TPU,Getting Started with TPUs on Kaggle! 
5_4,Cornell Birdcall Identification,Build tools for bird population monitoring 
5_5,Halite by Two Sigma,Collect the most halite during your match in space 
5_6,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images 
5_7,TREC-COVID Information Retrieval,Build a pandemic document retrieval system 
5_8,Open Images Instance Segmentation RVC 2020 edition,Outline segmentation masks of objects in images 
5_9,Open Images Object Detection RVC 2020 edition,Detect objects in varied and complex images 
5_10,COVID19 Global Forecasting (Week 5),Forecast daily COVID-19 spread in regions around world 
5_11,Global Wheat Detection ,Can you help identify wheat heads using image analysis? 
5_12,ALASKA2 Image Steganalysis,Detect secret data hidden within digital images 
5_13,Hash Code Archive - Photo Slideshow Optimization,Optimizing a photo album from Hash Code 2019 
5_14,TReNDS Neuroimaging,"Multiscanner normative age and assessments prediction with brain function, structure, and connectivity "
5_15,Prostate cANcer graDe Assessment (PANDA) Challenge,Prostate cancer diagnosis using the Gleason grading system 
5_16,COVID19 Global Forecasting (Week 4),Forecast daily COVID-19 spread in regions around world 
5_17,COVID19 Global Forecasting (Week 3),Forecast daily COVID-19 spread in regions around world 
5_18,iMet Collection 2020 - FGVC7,Recognize artwork attributes from The Metropolitan Museum of Art 
5_19,COVID19 Global Forecasting (Week 2),Forecast daily COVID-19 spread in regions around world 
5_20,Tweet Sentiment Extraction,Extract support phrases for sentiment labels 
6_1,Jigsaw Multilingual Toxic Comment Classification,Use TPUs to identify toxicity comments across multiple languages 
6_2,iMaterialist (Fashion) 2020 at FGVC7 ,Fine-grained segmentation task for fashion and apparel 
6_3,COVID19 Global Forecasting (Week 1),Forecast daily COVID-19 spread in regions around world 
6_4,COVID19 Local US-CA Forecasting (Week 1),"Forecast daily COVID-19 spread in California, USA "
6_5,Plant Pathology 2020 - FGVC7,Identify the category of foliar diseases in apple trees 
6_6,iWildCam 2020 - FGVC7,Categorize animals in the wild 
6_7,Herbarium 2020 - FGVC7,Identify plant species from herbarium specimens. Data from New York Botanical Garden. 
6_8,M5 Forecasting - Accuracy,Estimate the unit sales of Walmart retail goods 
6_9,M5 Forecasting - Uncertainty, Estimate the uncertainty distribution of Walmart unit sales.   
6_10,University of Liverpool - Ion Switching,Identify the number of channels open at each time point 
6_11,Google Cloud & NCAA® March Madness Analytics,Uncover the madness of March Madness® 
6_12,Google Cloud & NCAA® ML Competition 2020-NCAAM,Apply Machine Learning to NCAA® March Madness® 
6_13,Google Cloud & NCAA® ML Competition 2020-NCAAW,Apply Machine Learning to NCAA® March Madness® 
6_14,Abstraction and Reasoning Challenge,Create an AI capable of solving reasoning tasks it has never seen before 
6_15,DS4G - Environmental Insights Explorer,Exploring alternatives for emissions factor calculations 
6_16,Flower Classification with TPUs,"Use TPUs to classify 104 types of flowers
 "
6_17,Connect X,Connect your checkers in a row before your opponent! 
6_18,Categorical Feature Encoding Challenge II,"Binary classification, with every feature a categorical (and interactions!) "
6_19,Santa 2019 - Revenge of the Accountants,Oh what fun it is to revise . . . 
6_20,Natural Language Processing with Disaster Tweets,Predict which Tweets are about real disasters and which ones are not 
7_1,Bengali.AI Handwritten Grapheme Classification,Classify the components of handwritten Bengali 
7_2,Deepfake Detection Challenge,Identify videos with facial or voice manipulations 
7_3,Santa's Workshop Tour 2019,"In the notebook we can build a model, and pretend that it will optimize... "
7_4,NFL 1st and Future - Analytics,Can you investigate the relationship between the playing surface and the injury and performance of NFL athletes? 
7_5,Google QUEST Q&A Labeling,Improving automated understanding of complex question answer content 
7_6,2019 Kaggle Machine Learning & Data Science Survey,The most comprehensive dataset available on the state of ML and data science 
7_7,TensorFlow 2.0 Question Answering,Identify the answers to real user questions about Wikipedia page content 
7_8,2019 Data Science Bowl,Uncover the factors to help measure how young children learn 
7_9,Peking University/Baidu - Autonomous Driving,Can you predict vehicle angle in different settings? 
7_10,ASHRAE - Great Energy Predictor III,How much energy will a building consume? 
7_11,NFL Big Data Bowl,How many yards will an NFL player gain after receiving a handoff? 
7_12,Kannada MNIST,MNIST like datatset for Kannada handwritten digits 
7_13,RSNA Intracranial Hemorrhage Detection,Identify acute intracranial hemorrhage and its subtypes 
7_14,BigQuery-Geotab Intersection Congestion,Can you predict wait times at major city intersections? 
7_15,Lyft 3D Object Detection for Autonomous Vehicles,Can you advance the state of the art in 3D object detection?  
7_16,Categorical Feature Encoding Challenge,"Binary classification, with every feature a categorical "
7_17,Understanding Clouds from Satellite Images,Can you classify cloud structures from satellites?  
7_18,Ciphertext Challenge III,BRBTvl0LNstxQLyxulCEEq1czSFje0Z6iajczo6ktGmitTE= 
7_19,Severstal: Steel Defect Detection,Can you detect and classify defects in steel? 
7_20,Kuzushiji Recognition,Opening the door to a thousand years of Japanese culture 
8_1,IEEE-CIS Fraud Detection,Can you detect fraud from customer transactions? 
8_2,Open Images 2019 - Instance Segmentation,Outline segmentation masks of objects in images 
8_3,Generative Dog Images,Experiment with creating puppy pics 
8_4,APTOS 2019 Blindness Detection,Detect diabetic retinopathy to stop blindness before it's too late  
8_5,Recursion Cellular Image Classification,CellSignal: Disentangling biological signal from experimental noise in cellular images 
8_6,The 3rd YouTube-8M Video Understanding Challenge,Temporal localization of topics within video 
8_7,SIIM-ACR Pneumothorax Segmentation,Identify Pneumothorax disease in chest x-rays  
8_8,Open Images 2019 - Object Detection,Detect objects in varied and complex images 
8_9,Open Images 2019 - Visual Relationship,Detect pairs of objects in particular relationships 
8_10,Predicting Molecular Properties,Can you measure the magnetic interactions between a pair of atoms? 
8_11,Instant Gratification,A synchronous Kernels-only competition 
8_12,Northeastern SMILE Lab - Recognizing Faces in the Wild,Can you determine if two individuals are related? 
8_13,Data Science for Good: City of Los Angeles,Help the City of Los Angeles to structure and analyze its job descriptions 
8_14,iMaterialist (Fashion) 2019 at FGVC6 ,Fine-grained segmentation task for fashion and apparel 
8_15,Google Landmark Recognition 2019,Label famous (and not-so-famous) landmarks in images 
8_16,Google Landmark Retrieval 2019,"Given an image, can you find all of the same landmarks in a dataset? "
8_17,Freesound Audio Tagging 2019,Automatically recognize sounds and apply tags of varying natures 
8_18,iNaturalist 2019 at FGVC6,Fine-grained classification spanning a thousand species 
8_19,Jigsaw Unintended Bias in Toxicity Classification,Detect toxicity across a diverse range of conversations 
8_20,iMet Collection 2019 - FGVC6,Recognize artwork attributes from The Metropolitan Museum of Art 
9_1,Ciphertext Challenge II,553398 418126 467884 411 374106 551004 356535 539549 487091 290502 121468 556912 469347 515719 201909 101 
9_2,iWildCam 2019 - FGVC6,Categorize animals in the wild 
9_3,CareerCon 2019 - Help Navigate Robots ,Compete to get your resume in front of our sponsors 
9_4,Aerial Cactus Identification,Determine whether an image contains a columnar cactus 
9_5,Data Science for Good: CareerVillage.org,Match career advice questions with professionals in the field 
9_6,Google Cloud & NCAA® ML Competition 2019-Men's,Apply Machine Learning to NCAA® March Madness® 
9_7,Google Cloud & NCAA® ML Competition 2019-Women's,Apply Machine Learning to NCAA® March Madness® 
9_8,Santander Customer Transaction Prediction,Can you identify who will make a transaction? 
9_9,Don't Overfit! II,A Fistful of Samples 
9_10,TMDB Box Office Prediction,Can you predict a movie's worldwide box office revenue? 
9_11,Gendered Pronoun Resolution,Pair pronouns to their correct entities 
9_12,LANL Earthquake Prediction,Can you predict upcoming laboratory earthquakes? 
9_13,PetFinder.my Adoption Prediction,How cute is that doggy in the shelter? 
9_14,VSB Power Line Fault Detection,Can you detect faults in above-ground electrical lines? 
9_15,Reducing Commercial Aviation Fatalities,Can you tell when a pilot is heading for trouble? 
9_16,20 Newsgroups Ciphertext Challenge,V8g{9827$A${?^*?}$$v7*.yig$w9.8} 
9_17,Microsoft Malware Prediction,Can you predict if a machine will soon be hit with malware? 
9_18,NFL Punt Analytics Competition,Analyze NFL game data and suggest rules to improve player safety during punt plays 
9_19,Humpback Whale Identification,Can you identify a whale by its tail? 
9_20,Elo Merchant Category Recommendation,Help understand customer loyalty 
10_1,Don't call me turkey!,Thanksgiving Edition: Find the turkey in the sound bite 
10_2,Traveling Santa 2018 - Prime Paths,"But does your code recall, the most efficient route of all? "
10_3,Histopathologic Cancer Detection,Identify metastatic tissue in histopathologic scans of lymph node sections 
10_4,Quora Insincere Questions Classification,Detect toxic content to improve online conversations 
10_5,PUBG Finish Placement Prediction (Kernels Only),Can you predict the battle royale finish of PUBG Players? 
10_6,Human Protein Atlas Image Classification,Classify subcellular protein patterns in human cells 
10_7,PLAsTiCC Astronomical Classification,Can you help make sense of the Universe? 
10_8,"Quick, Draw! Doodle Recognition Challenge",How accurately can you identify a doodle? 
10_9,Two Sigma: Using News to Predict Stock Movements,Use news analytics to predict stock price performance 
10_10,Google Analytics Customer Revenue Prediction,Predict how much GStore customers will spend 
10_11,Inclusive Images Challenge,Stress test image classifiers across new geographic distributions 
10_12,RSNA Pneumonia Detection Challenge,Can you build an algorithm that automatically detects potential pneumonia cases? 
10_13,Airbus Ship Detection Challenge,Find ships on satellite images as quickly as possible 
10_14,New York City Taxi Fare Prediction,Can you predict a rider's taxi fare? 
10_15,TGS Salt Identification Challenge,Segment salt deposits beneath the Earth's surface 
10_16,Costa Rican Household Poverty Level Prediction,Can you identify which households have the highest need for social welfare assistance? 
10_17,Google AI Open Images - Visual Relationship Track,Detect pairs of objects in particular relationships. 
10_18,Google AI Open Images - Object Detection Track,Detect objects in varied and complex images. 
10_19,Store Item Demand Forecasting Challenge,Predict 3 months of item sales at different stores  
10_20,Flavours of Physics: Finding τ  →  μμμ (Kernels Only),Identify a rare decay phenomenon 
11_1,What's Cooking? (Kernels Only),Use recipe ingredients to categorize the cuisine 
11_2,Movie Review Sentiment Analysis (Kernels Only),Classify the sentiment of sentences from the Rotten Tomatoes dataset 
11_3,Forest Cover Type (Kernels Only),Use cartographic variables to classify forest categories 
11_4,Santander Value Prediction Challenge,Predict the value of transactions for potential customers. 
11_5,The 2nd YouTube-8M Video Understanding Challenge,Can you create a constrained-size model to predict video labels? 
11_6,Home Credit Default Risk,Can you predict how capable each applicant is of repaying a loan? 
11_7,TrackML Particle Tracking Challenge,High Energy Physics particle tracking in CERN detectors 
11_8,Avito Demand Prediction Challenge,Predict demand for an online classified ad 
11_9,CVPR 2018 WAD Video Segmentation Challenge,Can you segment each objects within image frames captured by vehicles? 
11_10,iMaterialist Challenge (Fashion) at FGVC5,Image classification of fashion products. 
11_11,Freesound General-Purpose Audio Tagging Challenge,Can you automatically recognize sounds from a wide range of real-world environments? 
11_12,iMaterialist Challenge (Furniture) at FGVC5,Image Classification of Furniture & Home Goods. 
11_13,TalkingData AdTracking Fraud Detection Challenge,Can you detect fraudulent click traffic for mobile app ads? 
11_14,DonorsChoose.org Application Screening,Predict whether teachers' project proposals are accepted 
11_15, iNaturalist Challenge at FGVC5,"Long tailed classification challenge spanning 8,000 species. "
11_16,Google Cloud & NCAA® ML Competition 2018-Women's,Apply machine learning to NCAA® March Madness® 
11_17,Google Cloud & NCAA® ML Competition 2018-Men's,Apply Machine Learning to NCAA® March Madness® 
11_18,Predict Future Sales,"Final project for ""How to win a data science competition"" Coursera course "
11_19,Google Landmark Retrieval Challenge,"Given an image, can you find all of the same landmarks in a dataset? "
11_20,Google Landmark Recognition Challenge,Label famous (and not-so-famous) landmarks in images 
12_1,2018 Data Science Bowl ,Find the nuclei in divergent images to advance medical discovery 
12_2,Humpback Whale Identification Challenge,Can you identify a whale by the picture of its fluke? 
12_3,ImageNet Object Localization Challenge,Identify the objects in images 
12_4,IEEE's Signal Processing Society - Camera Model Identification,Identify from which camera an image was taken 
12_5,Toxic Comment Classification Challenge,Identify and classify toxic online comments 
12_6,Nomad2018 Predicting Transparent Conductors,Predict the key properties of novel transparent semiconductors 
12_7,Santa Gift Matching Challenge,Down through the chimney with lots of toys... 
12_8,Recruit Restaurant Visitor Forecasting,Predict how many future visitors a restaurant will receive 
12_9,Plant Seedlings Classification,Determine the species of a seedling from an image 
12_10,Mercari Price Suggestion Challenge,Can you automatically suggest product prices to online sellers? 
12_11,TensorFlow Speech Recognition Challenge,Can you build an algorithm that understands simple speech commands? 
12_12,Spooky Author Identification,Share code and discuss insights to identify horror authors from their writings 
12_13,Statoil/C-CORE Iceberg Classifier Challenge,"Ship or iceberg, can you decide from space? "
12_14,Corporación Favorita Grocery Sales Forecasting,Can you accurately predict sales for a large grocery chain? 
12_15,Porto Seguro’s Safe Driver Prediction,Predict if a driver will file an insurance claim next year. 
12_16,Dog Breed Identification,Determine the breed of a dog in an image 
12_17,WSDM - KKBox's Music Recommendation Challenge,Can you build the best music recommendation system? 
12_18,WSDM - KKBox's Churn Prediction Challenge,Can you predict when subscribers will churn? 
12_19,Cdiscount’s Image Classification Challenge,Categorize e-commerce photos 
12_20,Text Normalization Challenge - Russian Language,Convert Russian text from written expressions into spoken forms 
13_1,Text Normalization Challenge - English Language,Convert English text from written expressions into spoken forms 
13_2,Carvana Image Masking Challenge,Automatically identify the boundaries of the car in an image 
13_3,New York City Taxi Trip Duration,Share code and data to improve ride time predictions 
13_4,Web Traffic Time Series Forecasting,Forecast future traffic to Wikipedia pages 
13_5,NIPS 2017: Defense Against Adversarial Attack,Create an image classifier that is robust to adversarial attacks 
13_6,NIPS 2017: Targeted Adversarial Attack,Develop an adversarial attack that causes image classifiers to predict a specific target class 
13_7,NIPS 2017: Non-targeted Adversarial Attack,Imperceptibly transform images in ways that fool classification models 
13_8,Personalized Medicine: Redefining Cancer Treatment,Predict the effect of Genetic Variants to enable Personalized Medicine 
13_9,Passenger Screening Algorithm Challenge,Improve the accuracy of the Department of Homeland Security's threat recognition algorithms 
13_10,iMaterialist Challenge at FGVC 2017,Can you assign accurate description labels to images of apparel products? 
13_11,iNaturalist Challenge at FGVC 2017,"Fine-grained classification challenge spanning 5,000 species. "
13_12,Mercedes-Benz Greener Manufacturing,Can you cut the time a Mercedes-Benz spends on the test bench? 
13_13,Zillow Prize: Zillow’s Home Value Prediction (Zestimate),Can you improve the algorithm that changed the world of real estate? 
13_14,Instacart Market Basket Analysis,Which products will an Instacart consumer purchase again? 
13_15,Invasive Species Monitoring,Identify images of invasive hydrangea 
13_16,Sberbank Russian Housing Market,Can you predict realty price fluctuations in Russia’s volatile economy? 
13_17,Planet: Understanding the Amazon from Space,Use satellite data to track the human footprint in the Amazon rainforest 
13_18,NOAA Fisheries Steller Sea Lion Population Count,How many sea lions do you see? 
13_19,Quora Question Pairs,Can you identify question pairs that have the same intent? 
13_20,Intel & MobileODT Cervical Cancer Screening,Which cancer treatment will be most effective? 
14_1,Google Cloud & YouTube-8M Video Understanding Challenge,Can you produce the best video tag predictions? 
14_2,Two Sigma Connect: Rental Listing Inquiries,How much interest will a new rental listing on RentHop receive? 
14_3,March Machine Learning Mania 2017,Predict the 2017 NCAA Basketball Tournament 
14_4,Data Science Bowl 2017,Can you improve lung cancer detection? 
14_5,Santa's Uncertain Bags,"♫ Bells are ringing, children singing, all is merry and bright. Santa's elves made a big mistake, now he needs your help tonight ♫ "
14_6,Dstl Satellite Imagery Feature Detection,Can you train an eye in the sky? 
14_7,Two Sigma Financial Modeling Challenge,Can you uncover predictive value in an uncertain world? 
14_8,The Nature Conservancy Fisheries Monitoring,Can you detect and classify species of fish? 
14_9,"Ghouls, Goblins, and Ghosts... Boo! ",Can you classify monsters haunting Kaggle? 
