,title,desc
14_10,Transfer Learning on Stack Exchange Tags,Predict tags from models trained on unrelated topics 
14_11,Santander Product Recommendation,Can you pair products with people? 
14_12,Allstate Claims Severity,How severe is an insurance claim? 
14_13,Outbrain Click Prediction,Can you predict which recommended content each user will click? 
14_14,Dogs vs. Cats Redux: Kernels Edition,Distinguish images of dogs from cats 
14_15,Melbourne University AES/MathWorks/NIH Seizure Prediction,Predict seizures in long-term human intracranial EEG recordings  
14_16,House Prices - Advanced Regression Techniques,"Predict sales prices and practice feature engineering, RFs, and gradient boosting "
14_17,Leaf Classification,Can you see the random forest for the leaves? 
14_18,Bosch Production Line Performance,Reduce manufacturing failures 
14_19,Predicting Red Hat Business Value,Classify customer potential 
14_20,TalkingData Mobile User Demographics,Get to know millions of mobile device users 
15_1,Grupo Bimbo Inventory Demand,Maximize sales and minimize returns of bakery goods 
15_2,Integer Sequence Learning,"1, 2, 3, 4, 5, 7?! "
15_3,Ultrasound Nerve Segmentation,Identify nerve structures in ultrasound images of the neck 
15_4,Facebook V: Predicting Check Ins,Identify the correct place for check ins 
15_5,Avito Duplicate Ads Detection,Can you detect duplicitous duplicate ads? 
15_6,Painter by Numbers,Does every painter leave a fingerprint?  
15_7,Draper Satellite Image Chronology,Can you put order to space and time?  
15_8,Expedia Hotel Recommendations,Which hotel type will an Expedia customer book? 
15_9,Kobe Bryant Shot Selection,Which shots did Kobe sink? 
15_10,State Farm Distracted Driver Detection,Can computer vision spot distracted drivers? 
15_11,Shelter Animal Outcomes,Help improve outcomes for shelter animals 
15_12,Santander Customer Satisfaction,Which customers are happy customers? 
15_13,March Machine Learning Mania 2016,Predict the 2016 NCAA Basketball Tournament 
15_14,BNP Paribas Cardif Claims Management,Can you accelerate BNP Paribas Cardif's claims management process? 
15_15,Home Depot Product Search Relevance,Predict the relevance of search results on homedepot.com 
15_16,Yelp Restaurant Photo Classification,Predict attribute labels for restaurants using user-submitted photos 
15_17,Second Annual Data Science Bowl,Transforming How We Diagnose Heart Disease 
15_18,Cervical Cancer Screening,Help prevent cervical cancer by identifying at-risk populations 
15_19,Santa's Stolen Sleigh,"♫ Alarm bells ring, are you listening? Santa's sleigh has gone missing ♫ "
15_20,Airbnb New User Bookings,Where will a new guest book their first travel experience? 
16_1,Telstra Network Disruptions,Predict service faults on Australia's largest telecommunications network  
16_2,Prudential Life Insurance Assessment,Can you make buying life insurance easier? 
16_3,Homesite Quote Conversion,Which customers will purchase a quoted insurance plan? 
16_4,The Winton Stock Market Challenge,Join a multi-disciplinary team of research scientists 
16_5,Walmart Recruiting: Trip Type Classification,Use market basket analysis to classify shopping trips 
16_6,The Allen AI Science Challenge,Is your model smarter than an 8th grader? 
16_7,Rossmann Store Sales,"Forecast sales using store, promotion, and competitor data "
16_8,How Much Did It Rain? II,Predict hourly rainfall using data from polarimetric radars 
16_9,What's Cooking?,Use recipe ingredients to categorize the cuisine 
16_10,Right Whale Recognition,Identify endangered right whales in aerial photographs  
16_11,Western Australia Rental Prices ,Predict rental prices for properties across Western Australia 
16_12,Springleaf Marketing Response,Determine whether to send a direct mail piece to a customer  
16_13,Truly Native? ,Predict which web pages served by StumbleUpon are sponsored 
16_14,Flavours of Physics: Finding τ  →  μμμ,Identify a rare decay phenomenon 
16_15,Coupon Purchase Prediction,Predict which coupons a customer will buy 
16_16,Introducing Kaggle Scripts,Your code deserves better 
16_17,Liberty Mutual Group: Property Inspection Prediction,Quantify property hazards before time of inspection 
16_18,Machinery Tube Pricing,Model quoted prices for industrial tube assemblies 
16_19,Grasp-and-Lift EEG Detection,Identify hand motions from EEG recordings 
16_20,San Francisco Crime Classification,Predict the category of crimes that occurred in the city by the bay  
17_1,Avito Context Ad Clicks,Predict if context ads will earn a user's click  
17_2,Denoising Dirty Documents,Remove noise from printed text 
17_3,ICDM 2015: Drawbridge Cross-Device Connections,Identify individual users across their digital devices 
17_4,Crowdflower Search Results Relevance,Predict the relevance of search results from eCommerce sites 
17_5,Facebook Recruiting IV: Human or Robot?,Predict if an online bid is made by a machine or a human 
17_6,ECML/PKDD 15: Taxi Trip Time Prediction (II),Predict the total travel time of taxi trips based on their initial partial trajectories 
17_7,West Nile Virus Prediction,Predict West Nile virus in mosquitos across the city of Chicago 
17_8,ECML/PKDD 15: Taxi Trajectory Prediction (I),Predict the destination of taxi trips based on initial partial trajectories 
17_9,15.071x - The Analytics Edge (Spring 2015),Test your analytics skills by predicting which New York Times blog articles will be the most popular 
17_10,Predict Closed Questions on Stack Overflow,Predict which new questions asked on Stack Overflow will be closed 
17_11,15.071x - The Analytics Edge (Spring 2015),Test your analytics skills by predicting which New York Times blog articles will be the most popular. 
17_12,Walmart Recruiting II: Sales in Stormy Weather,Predict how sales of weather-sensitive products are affected by snow and rain 
17_13,Restaurant Revenue Prediction,Predict annual restaurant sales based on objective measurements 
17_14,Otto Group Product Classification Challenge,Classify products into the correct category 
17_15,Diabetic Retinopathy Detection,Identify signs of diabetic retinopathy in eye images 
17_16,Microsoft Malware Classification Challenge (BIG 2015),Classify malware into families based on file content and characteristics 
17_17,March Machine Learning Mania 2015,Predict the 2015 NCAA Basketball Tournament 
17_18,How Much Did It Rain?,Predict probabilistic distribution of hourly rain given polarimetric radar measurements 
17_19,National Data Science Bowl,"Predict ocean health, one plankton at a time "
17_20,Driver Telematics Analysis,Use telematic data to identify a driver signature 
18_1,Bag of Words Meets Bags of Popcorn,Use Google's Word2Vec for movie reviews 
18_2,Poker Rule Induction,Determine the poker hand of five playing cards 
18_3,Helping Santa's Helpers,"Jingle bells, Santa tells ...  "
18_4,BCI Challenge @ NER 2015,A spell on you if you cannot detect errors! 
18_5,Click-Through Rate Prediction,Predict whether a mobile ad will be clicked 
18_6,Finding Elo,Predict a chess player's FIDE Elo rating from one game 
18_7,Tradeshift Text Classification,Classify text blocks in documents 
18_8,Africa Soil Property Prediction Challenge ,Predict physical and chemical properties of soil using spectral measurements 
18_9,American Epilepsy Society Seizure Prediction Challenge,Predict seizures in intracranial EEG recordings 
18_10,First Steps With Julia,Use Julia to identify characters from Google Street View images 
18_11,Liberty Mutual Group - Fire Peril Loss Cost,Predict expected fire losses for insurance policies 
18_12,Display Advertising Challenge,Predict click-through rates on display ads 
18_13,The Hunt for Prohibited Content,Predict which ads contain illicit content 
18_14,MLSP 2014 Schizophrenia Classification Challenge,Diagnose schizophrenia using multimodal features from MRI scans 
18_15,Greek Media Monitoring Multilabel Classification (WISE 2014),Multi-label classification of printed media articles to topics 
18_16,Random Acts of Pizza,Predicting altruism through free pizza 
18_17,Bike Sharing Demand,Forecast use of a city bikeshare system 
18_18,UPenn and Mayo Clinic's Seizure Detection Challenge,Detect seizures in intracranial EEG recordings 
18_19,Forest Cover Type Prediction,Use cartographic variables to classify forest categories 
18_20,KDD Cup 2014 - Predicting Excitement at DonorsChoose.org,Predict funding requests that deserve an A+ 
19_1,Higgs Boson Machine Learning Challenge,Use the ATLAS experiment to identify the Higgs boson 
19_2,Billion Word Imputation,Find and impute missing words in the billion word corpus 
19_3,Learning Social Circles in Networks,Model friend memberships to multiple circles 
19_4,DecMeg2014 - Decoding the Human Brain,Predict visual stimuli from MEG recordings of human brain activity 
19_5,The Analytics Edge (15.071x),Learn what predicts happiness by using informal polling questions. 
19_6,Acquire Valued Shoppers Challenge,Predict which shoppers will become repeat buyers 
19_7,Risky Business,Predict the risk of customer credit default 
19_8,The Random Number Grand Challenge,Decode a sequence of pseudorandom numbers 
19_9,Sentiment Analysis on Movie Reviews,Classify the sentiment of sentences from the Rotten Tomatoes dataset 
19_10,Walmart Recruiting - Store Sales Forecasting,Use historical markdown data to predict store sales 
19_11,Allstate Purchase Prediction Challenge,Predict a purchased policy based on transaction history 
19_12,CONNECTOMICS,Reconstruct the wiring between neurons from fluorescence imaging of neural activity 
19_13,PAKDD 2014 - ASUS Malfunctional Components Prediction,Predict malfunctional components of ASUS notebooks 
19_14,Large Scale Hierarchical Text Classification,"Classify Wikipedia documents into one of 325,056 categories "
19_15,"Flight Quest 2: Flight Optimization, Final Phase",Final Phase of Flight Quest 2 
19_16,Loan Default Prediction - Imperial College London,Constructing an optimal portfolio of loans 
19_17,March Machine Learning Mania,Tip off college basketball by predicting the 2014 NCAA Tournament 
19_18,Galaxy Zoo - The Galaxy Challenge,Classify the morphologies of distant galaxies in our Universe 
19_19,Flu Forecasting,"Predict when, where and how strong the flu will be "
19_20,Packing Santa's Sleigh,"He's making a list, checking it twice; to fill up his sleigh, he needs your advice "
20_1,Boston Data Festival Hackathon,Can you make a better prediction than a monkey with a dart? 
20_2,As the World Churns,Predict which customers will leave an insurance company in the next 12 months. 
20_3,CIFAR-10 - Object Recognition in Images,"Identify the subject of 60,000 labeled images "
20_4,Multi-label Bird Species Classification - NIPS 2013,Identify which of 87 classes of birds and amphibians are present into 1000 continuous wild sound recordings 
20_5,Conway's Reverse Game of Life,Reverse the arrow of time in the Game of Life 
20_6,Personalized Web Search Challenge,Re-rank web documents using personal preferences 
20_7,See Click Predict Fix,Predict which 311 issues are most important to citizens 
20_8,See Click Predict Fix - Hackathon,Predict which 311 issues are most important to citizens 
20_9,Partly Sunny with a Chance of Hashtags,What can a #machine learn from tweets about the #weather? 
20_10,"Flight Quest 2: Flight Optimization, Main Phase",Optimize flight routes based on current weather and traffic. 
20_11,Dogs vs. Cats,Create an algorithm to distinguish dogs from cats 
20_12,Personalize Expedia Hotel Searches - ICDM 2013,Learning to rank hotels to maximize purchases 
20_13,Facebook Recruiting III - Keyword Extraction,Identify keywords and tags from millions of text questions 
20_14,StumbleUpon Evergreen Classification Challenge,Build a classifier to categorize webpages as evergreen or non-evergreen 
20_15,The Big Data Combine Engineered by BattleFin,Predict short term movements in stock prices using news and sentiment data provided by RavenPack  
20_16,"Flight Quest 2: Flight Optimization, Milestone Phase",Optimize flight routes based on current weather and traffic. 
20_17,MasterCard - Data Cleansing Competition,Improve the quality of information within transaction data 
20_18,Accelerometer Biometric Competition,Recognize users of mobile devices from accelerometer data 
20_19,AMS 2013-2014 Solar Energy Prediction Contest,Forecast daily solar energy with an ensemble of weather models 
20_20,Belkin Energy Disaggregation Competition,Disaggregate household energy consumption into individual appliances 
21_1,Multi-modal Gesture Recognition,Recognize gesture sequences in video and depth data from Kinect 
21_2,MLSP 2013 Bird Classification Challenge,"Predict the set of bird species present in an audio recording, collected in field conditions. "
21_3,Amazon.com - Employee Access Challenge,"Predict an employee's access needs, given his/her job role "
21_4,dunnhumby & hack/reduce Product Launch Challenge,The success or failure of a new product launch is often evident within the first few weeks of sales. Can you predict a product's destiny?  
21_5,The ICML 2013 Whale Challenge - Right Whale Redux,Develop recognition solutions to detect and classify right whales for BIG data mining and exploration studies 
21_6,The ICML 2013 Bird Challenge,Identify bird species from continuous audio recordings 
21_7,Facial Keypoints Detection,Detect the location of keypoints on face images 
21_8,RecSys2013: Yelp Business Rating Prediction,RecSys Challenge 2013: Yelp business rating prediction 
21_9,KDD Cup 2013 - Author Disambiguation Challenge (Track 2),Identify which authors correspond to the same person 
21_10,KDD Cup 2013 - Author-Paper Identification Challenge (Track 1),Determine whether an author has written a given paper 
21_11,Influencers in Social Networks,Predict which people are influential in a social network 
21_12,Challenges in Representation Learning: The Black Box Learning Challenge,"Competitors train a classifier on a dataset that is not human readable, without knowledge of what the data consists of. "
21_13,Challenges in Representation Learning: Multi-modal Learning,The multi-modal learning challenge 
21_14,Challenges in Representation Learning: Facial Expression Recognition Challenge,Learn facial expressions from an image 
21_15,Cause-effect pairs,"Given samples from a pair of variables A, B, find whether A is a cause of B. "
21_16,Yelp Recruiting Competition,"How many ""useful"" votes will a Yelp review receive? Show off your skills to land an interview for a position on a Yelp data mining team! "
21_17,ICDAR2013 - Handwriting Stroke Recovery from Offline Data,Predict the trajectory of a handwritten signature 
21_18,Data Science London + Scikit-learn,Scikit-learn is an open-source machine learning library for Python. Give it a try here! 
21_19,ICDAR2013 - Gender Prediction from Handwriting,Predict if a handwritten document has been produced by a male or a female writer 
21_20,Just the Basics - Strata 2013 After-party,"Live from Santa Clara, CA "
22_1,Just the Basics - Strata 2013,"Live from Santa Clara, CA - Core Data Science Skills with Kaggle’s Top Competitors "
22_2,Job Salary Prediction,Predict the salary of any UK job ad based on its contents 
22_3,The Marinexplore and Cornell University Whale Detection Challenge,"Create an algorithm to detect North Atlantic right whale calls from audio recordings, prevent collisions with shipping traffic "
22_4,Predicting Parkinson's Disease Progression with Smartphone Data,Can we objectively measure the symptoms of Parkinson’s disease with a smartphone? We have the data to find out! 
22_5,Blue Book for Bulldozers,"Predict the auction sale price for a piece of heavy equipment to create a ""blue book"" for bulldozers. "
22_6,Event Recommendation Engine Challenge,"Predict what events our users will be interested in based on user actions, event metadata, and demographic information. "
22_7,Leaping Leaderboard Leapfrogs,Provide creative visualizations of the Kaggle leaderboard  
22_8,Traveling Santa Problem,Solve ye olde traveling salesman problem to help Santa Claus deliver his presents 
22_9,Visualize the State of Public Education in Colorado,"Using 3 years of school grading data supplied by the Colorado Department of Education and R-Squared Research, visually uncover trends in the Colorado public school system. "
22_10,Prescription Volume Prediction,Predict future prescription volume 
22_11,GE Flight Quest,Think you can change the future of flight? 
22_12,GE Hospital Quest,Think it’s possible to make hospital visits hassle-free? GE does. 
22_13,Facebook II - Mapping the Internet,Round II of the Facebook Recruiting Competition.  
22_14,Observing Dark Worlds,Can you find the Dark Matter that dominates our Universe? Winton Capital offers you the chance to unlock the secrets of dark worlds. 
22_15,Titanic - Machine Learning from Disaster,Start here! Predict survival on the Titanic and get familiar with ML basics 
22_16,Detecting Insults in Social Commentary,Predict whether a comment posted during a public discussion is considered insulting to one of the participants. 
22_17,Follow the Money: Investigative Reporting Prospect,"Find hidden patterns, connections, and ultimately compelling stories in a treasure trove of data about US federal campaign contributions "
22_18,Will I Stay or Will I Go?,Predict which of our current customers will stay insured with us for an entire policy term.   
22_19,Global Energy Forecasting Competition 2012 - Wind Forecasting,A wind power forecasting problem: predicting hourly power generation up to 48 hours ahead at 7 wind farms 
22_20,Global Energy Forecasting Competition 2012 - Load Forecasting,A hierarchical load forecasting problem: backcasting and forecasting hourly loads (in kW) for a US utility with 20 zones. 
23_1,U.S. Census Return Rate Challenge,Predict census mail return rates. 
23_2,Predict Closed Questions on Stack Overflow,Predict which new questions asked on Stack Overflow will be closed 
23_3,Harvard Business Review 'Vision Statement' Prospect,Your Analysis and/or Visualization featured in the Harvard Business Review 
23_4,Data Mining Hackathon on (20 mb) Best Buy mobile web site - ACM SF Bay Area Chapter,Getting Started - Predict which Xbox game a visitor will be most interested in based on their search query.  (20 MB) 
23_5,Data Mining Hackathon on BIG DATA (7GB) Best Buy mobile web site,Predict which BestBuy product a mobile web visitor will be most interested in based on their search query or behavior over 2 years (7 GB). 
23_6,Merck Molecular Activity Challenge,Help develop safe and effective medicines by predicting molecular activity. 
23_7,Job Recommendation Challenge,Predict which jobs users will apply to 
23_8,Digit Recognizer,Learn computer vision fundamentals with the famous MNIST data 
23_9,EMI Music Data Science Hackathon - July 21st - 24 hours,Can you predict if a listener will love a new song? 
23_10,Raising Money to Fund an Organizational Mission,Help worthy organizations more efficiently target and recruit loyal donors to support their causes.  
23_11,Practice Fusion Diabetes Classification,Identify patients diagnosed with Type 2 Diabetes 
23_12,CPROD1: Consumer PRODucts contest #1,Identify product mentions within a largely user-generated web-based corpus and disambiguate the mentions against a large product catalog. 
23_13,The Hewlett Foundation: Short Answer Scoring,Develop a scoring algorithm for student-written short-answer responses. 
23_14,GigaOM WordPress Challenge: Splunk Innovation Prospect,Predict which blog posts someone will like. 
23_15,EMC Israel Data Science Challenge,Match source code files to the open source code project 
23_16,Practice Fusion Analyze This! 2012 - Open Challenge,"Start digging into electronic health records and submit your creative, insightful, and visually striking analyses. "
23_17,Practice Fusion Analyze This! 2012 - Prediction Challenge,"Start digging into electronic health records and submit your ideas for the most promising, impactful or interesting predictive modeling competitions "
23_18,Facebook Recruiting Competition,"Show them your talent, not just your resume. "
23_19,Psychopathy Prediction Based on Twitter Usage,Identify people who have a high degree of Psychopathy based on Twitter usage. 
23_20,Personality Prediction Based on Twitter Stream,Identify the best performing model(s) to predict personality traits based on Twitter usage 
24_1,CHALEARN Gesture Challenge 2,Develop a Gesture Recognizer for Microsoft Kinect (TM) 
24_2,Online Product Sales,Predict the online sales of a consumer product based on a data set of product features. 
24_3,EMC Data Science Global Hackathon (Air Quality Prediction),Build a local early warning systems to accurately predict dangerous levels of air pollutants on an hourly basis. 
24_4,Million Song Dataset Challenge,Predict which songs a user will listen to. 
24_5,Eye Movements Verification and Identification Competition,Determine how people may be identified based on their eye movement characteristic. 
24_6,Predicting a Biological Response,Predict a biological response of molecules from their chemical properties 
24_7,ICFHR 2012 - Arabic Writer Identification,Identify which writer wrote which documents. 
24_8,"KDD Cup 2012, Track 2",Predict the click-through rate of ads given the query and user information. 
24_9,"KDD Cup 2012, Track 1",Predict which users (or information sources) one user might follow in Tencent Weibo. 
24_10,The Hewlett Foundation: Automated Essay Scoring,Develop an automated scoring algorithm for student-written essays. 
24_11,Benchmark Bond Trade Price Challenge,Develop models to accurately predict the trade price of a bond. 
24_12,Getting Started,Create a forum for New Users 
24_13,CHALEARN Gesture Challenge,Develop a Gesture Recognizer for Microsoft Kinect (TM) 
24_14,What Do You Know?,Improve the state of the art in student evaluation by predicting whether a student will answer the next test question correctly. 
24_15,Algorithmic Trading Challenge,Develop new models to accurately predict the market response to large trades. 
24_16,Photo Quality Prediction,"Given anonymized information on thousands of photo albums, predict whether a human evaluator would mark them as 'good'. "
24_17,Don't Get Kicked!,Predict if a car purchased at auction is a lemon 
24_18,Semi-Supervised Feature Learning,There's been a lot of recent work done in unsupervised feature learning for classification and there are a ton of older methods that also work well. The purpose of this competition is to find out which of these methods work best on relatively large-scale high dimensional learning tasks. 
24_19,Give Me Some Credit,Improve on the state of the art in credit scoring by predicting the probability that somebody will experience financial distress in the next two years.   
24_20,dunnhumby's Shopper Challenge,"Going grocery shopping, we all have to do it, some even enjoy it, but can you predict it? dunnhumby is looking to build a model to better predict when supermarket shoppers will next visit the store and how much they will spend.  "
25_1,Allstate Claim Prediction Challenge,A key part of insurance is charging each customer the appropriate price for the risk they represent. 
25_2,Wikipedia's Participation Challenge,This competition challenges data-mining experts to build a predictive model that predicts the number of edits an editor will make five months from the end date of the training dataset.  
25_3,Mapping Dark Matter,Measure the small distortion in galaxy images caused by dark matter 
25_4,Heritage Health Prize,Identify patients who will be admitted to a hospital within the next year using historical claims data. (Enter by 06:59:59 UTC Oct 4 2012)  
25_5,Don't Overfit!,"With nearly as many variables as training cases, what are the best techniques to avoid disaster?  "
25_6,ICDAR 2011 - Arabic Writer Identification,This competition require participants to develop an algorithm to identify who wrote which documents. The winner will be honored at a special session of the ICDAR 2011 conference.  
25_7,Deloitte/FIDE Chess Rating Challenge,"This contest, sponsored by professional services firm Deloitte, will find the most accurate system to predict chess outcomes, and FIDE will also bring a top finisher to Athens to present their system "
25_8,Stay Alert! The Ford Challenge,"Driving while not alert can be deadly. The objective is to design a classifier that will detect whether the driver is alert or not alert, employing data that are acquired while driving. "
25_9,Predict Grant Applications,This task requires participants to predict the outcome of grant applications for the University of Melbourne.  
25_10,RTA Freeway Travel Time Prediction,This competition requires participants to predict travel time on Sydney's M4 freeway from past travel time observations. 
25_11,IJCNN Social Network Challenge ,This competition requires participants to predict edges in an online social network. The winner will receive free registration and the opportunity to present their solution at IJCNN 2011. 
25_12,R Package Recommendation Engine,The aim of this competition is to develop a recommendation engine for R libraries (or packages). (R is opensource statistics software.) 
25_13,Tourism Forecasting Part Two,Part two requires competitors to predict 793 tourism-related time series. The winner of this competition will be invited to contribute a discussion paper to the International Journal of Forecasting. 
25_14,Tourism Forecasting Part One,Part one requires competitors to predict 518 tourism-related time series. The winner of this competition will be invited to contribute a discussion paper to the International Journal of Forecasting. 
25_15,Chess ratings - Elo versus the Rest of the World,This competition aims to discover whether other approaches can predict the outcome of chess games more accurately than the workhorse Elo rating system. 
25_16,INFORMS Data Mining Contest 2010,The goal of this contest is to predict short term movements in stock prices. The winners of this contest will be honoured of the INFORMS Annual Meeting in Austin-Texas (November 7-10). 
25_17,World Cup 2010 - Confidence Challenge,The Confidence Challenge requires competitors to assign a level of confidence to their World Cup predictions.  
25_18,World Cup 2010 - Take on the Quants,Quants at Goldman Sachs and JP Morgan have modeled the likely outcomes of the 2010 World Cup. Can you do better? 
25_19,Predict HIV Progression,"This contest requires competitors to predict the likelihood that an HIV patient's infection will become less severe, given a small dataset and limited clinical information.  "
25_20,Forecast Eurovision Voting ,"This competition requires contestants to forecast the voting for this year's Eurovision Song Contest in Norway on May 25th, 27th and 29th.  "
